epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_time_seconds,elapsed_training_time_seconds
1,2.79201956530412,0.35208333333333336,0.35326984030475406,0.9943650312628597,0.69875,0.6809673437365743,132.57060049998108,132.5707287999976
2,1.7364931181818246,0.5426041666666667,0.5392214825195992,0.9067462744097187,0.7225,0.7071048580775555,132.0632251999923,264.73631949999253
3,1.5443220649659635,0.5917708333333334,0.5887581932614402,0.8261617964997033,0.7479166666666667,0.7396456400804183,132.08930670001428,396.9371954999806
4,1.3967380499467255,0.6257291666666667,0.6238568911816339,0.8068661924771732,0.7566666666666667,0.743859817112103,132.20444820000557,529.2689451999904
5,1.3163876512274146,0.64125,0.6392797110335666,0.8791154411230916,0.7425,0.7348425431707052,132.25976139999693,661.6447292999947
6,1.231914710557709,0.6635416666666667,0.6617210366412816,0.7911398856551386,0.7733333333333333,0.7694510246962207,131.9166741000081,793.5630765999958
7,1.170591169813027,0.6798958333333334,0.678574705078825,0.8592413970959993,0.7679166666666667,0.7616200866181703,132.04622129999916,925.7257004999847
8,1.1232756724084416,0.6954166666666667,0.6941835282905271,0.8634130621191495,0.7641666666666667,0.7602870778956217,132.14745570000377,1057.874677899992
9,1.0798532090956967,0.7022916666666666,0.7014298272592865,0.9500146963767111,0.7541666666666667,0.7470913121072184,132.15783450001618,1190.0340826000029
10,1.0581023647418866,0.7123958333333333,0.7114906424740164,0.8799448896361476,0.7533333333333333,0.747766786746126,132.16739519999828,1322.2029936999897
11,1.0085150780063123,0.7242708333333333,0.7236799555410113,0.9144022324693287,0.7583333333333333,0.7521410100152297,131.98614020002424,1454.1914077999827
