epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_time_seconds,elapsed_training_time_seconds
1,4.561915861566861,0.03135416666666667,0.03011968362968976,3.578073428074519,0.13458333333333333,0.09261573758166416,362.6367581000086,362.63686349999625
2,2.942815743684769,0.27208333333333334,0.2584270567206903,1.8972420757015547,0.4841666666666667,0.45686039446521065,362.68738529999973,725.5991146999877
3,1.935466833959023,0.49,0.48240105560533464,1.4446864595015845,0.5920833333333333,0.579894752346845,362.7319476999983,1088.6623811000027
4,1.578435994312167,0.5658333333333333,0.5625037258710891,1.5368826613078514,0.5641666666666667,0.5552596486209805,362.9658895000175,1451.9325236000004
5,1.393879592344165,0.6175,0.6149993392337036,1.1873208867323894,0.6554166666666666,0.6517982981614154,362.87561950000236,1814.8099158999976
6,1.2268828258042535,0.6634375,0.6617532226332798,1.2561871469921122,0.64625,0.6378315704470465,363.1503148000047,2178.2687698999944
7,1.1247187611833214,0.6882291666666667,0.6871511910879238,1.2052623271631697,0.6504166666666666,0.64444351260752,363.1107185000146,2541.3812646000006
8,1.0314210973804196,0.7142708333333333,0.7136675202582701,1.1264321686606855,0.67375,0.673561475495948,363.2809938999999,2904.664040499978
9,1.0212892907547455,0.7203125,0.7197835270357711,1.2507153907045723,0.6541666666666667,0.6542375317921767,363.1810958000133,3268.1521681000013
10,0.8859526462542514,0.755625,0.7548878064526267,1.2031679495734473,0.6658333333333334,0.6607890159378627,363.0416999000008,3631.19541439999
11,0.8564654602094864,0.7622916666666667,0.7619581774261645,1.1663814950486024,0.6791666666666667,0.6770832638304419,363.3279623000126,3994.5249441999767
12,0.8249162810419997,0.7741666666666667,0.7739564088070653,1.1989900395895043,0.6695833333333333,0.6708625248715024,363.1084747000132,4357.991361399996
13,0.8055189678662767,0.7779166666666667,0.7779208299324174,1.3733248932907978,0.6395833333333333,0.6365665380766984,363.1017037999991,4721.094901099976
14,0.7280659938448419,0.798125,0.7978861912784608,1.1818813960192105,0.66875,0.6669214470323891,363.48968129997957,5084.586149099981
15,0.733817904049065,0.7998958333333334,0.7996139172674804,1.245264879168632,0.6566666666666666,0.6539081574693741,363.08170750000863,5447.669410199975
16,0.7155235295463354,0.8052083333333333,0.8052020673264885,1.3895006200911788,0.6375,0.6380752721951714,363.28204990000813,5810.953223699995
