epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_time_seconds,elapsed_training_time_seconds
1,3.050689364274343,0.2803125,0.278317799024256,1.2004743377119302,0.6370833333333333,0.6224044125003984,75.25917120001395,75.2593108000001
2,1.906119672929247,0.4820833333333333,0.47647925561891963,0.9420930365659297,0.7129166666666666,0.7036946382435453,75.03419009997742,150.33611750000273
3,1.6559671127299467,0.5414583333333334,0.5373624822305144,0.9190814175767203,0.7158333333333333,0.7063488280783461,74.91280900000129,225.2930750999949
4,1.4878279626121123,0.5865625,0.5836503521157209,0.8752322727030454,0.7325,0.7264185333202461,75.11948520000442,300.45602959999815
5,1.3781385866676767,0.61125,0.6087966635278266,0.8564433827220151,0.7395833333333334,0.7352478826828645,74.9722163999977,375.4664088000136
6,1.3112665173535545,0.63375,0.6316693730754757,0.8856344737337591,0.7379166666666667,0.7318855973282518,75.13778950000415,450.6510141000035
7,1.232938020695001,0.6522916666666667,0.6500798716901613,0.9057120047952049,0.73375,0.7253487350804417,75.64759540001978,526.3000195000204
8,1.1877359928314883,0.6670833333333334,0.6659249894056559,0.8686740184854717,0.7516666666666667,0.7457395507315884,75.05669249998755,601.3582975000027
9,1.121553853104512,0.6884375,0.687088791815714,0.9606600505338672,0.7404166666666666,0.7359239863329301,75.4857583999983,676.8893399000226
10,1.084950194483002,0.6971875,0.6957155771858688,0.882914034325707,0.75375,0.7519716136198199,75.43272070001694,752.3236287000182
11,1.053798835463822,0.70875,0.7077563893409191,0.8886364276559713,0.7604166666666666,0.7575493827860399,75.28673999998136,827.6513089000073
12,1.0175981274681787,0.7152083333333333,0.713992953215398,0.9588261028646957,0.7525,0.7493577116009714,75.07579110001097,902.7768108000164
13,0.9834075010816257,0.7283333333333334,0.727180628821463,0.9743378707033117,0.74,0.739310723143144,75.21731210002326,977.9959900999966
14,0.9576924355980009,0.7316666666666667,0.7310582452598465,0.9374803499605817,0.7454166666666666,0.7411380972112639,74.99980560000404,1052.9973224000132
15,0.928674151301384,0.7385416666666667,0.7379028524114255,0.9412943891963853,0.7404166666666666,0.7395841134876494,75.12346479998087,1128.1223936000024
16,0.869728658880728,0.7542708333333333,0.7534721205389683,1.0069477045975024,0.7458333333333333,0.7440812009254413,75.5007748999924,1203.6247993000143
