epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_time_seconds,elapsed_training_time_seconds
1,3.495780838429928,0.23447916666666666,0.22946160611883862,1.4106267186999322,0.6104166666666667,0.5801137410407458,93.62106770000537,93.62119630002417
2,2.157992997119824,0.4555208333333333,0.4451522797740556,0.9612559385194133,0.6929166666666666,0.6756631150039307,92.93268669999088,186.6005623000092
3,1.8032215541601182,0.528125,0.5206071943777749,0.8455914874561131,0.73625,0.7261773578329119,92.68180890000076,279.3270578000229
4,1.5950590917964775,0.58125,0.5769441652828124,0.8060238910800156,0.7441666666666666,0.7375212223854872,92.96931759998552,372.33729540000786
5,1.4937792805333932,0.6069791666666666,0.6021298636687159,0.7892315595511658,0.7608333333333334,0.7516128882488431,92.77483949999441,465.1544733000046
6,1.3926311722397804,0.6259375,0.6218707685969368,0.7986879851606985,0.7433333333333333,0.7357125152896018,92.91074600000866,558.1052008999977
7,1.3127610805133978,0.6439583333333333,0.6405675873761036,0.7840466815881276,0.7641666666666667,0.7590668502587165,92.40519889999996,650.5119349000161
8,1.2529970389977096,0.6595833333333333,0.6572130754253229,0.7622082982892849,0.7654166666666666,0.7625595248439545,92.96869379997952,743.5204758000036
9,1.1976161927978197,0.6798958333333334,0.6774466103967486,0.7502862997791332,0.7725,0.7704088780582343,93.03679360001115,836.6029290000151
10,1.1625468074840803,0.6840625,0.6816141284819651,0.7616121578955851,0.7683333333333333,0.7653941309288018,92.9371734999877,929.5912824000116
11,1.1036037933578093,0.6988541666666667,0.6966286740305621,0.7682877436416796,0.7729166666666667,0.7694851328100469,92.73369799999637,1022.326894400001
12,1.087965171088775,0.7063541666666666,0.7046119071801932,0.7799374608447086,0.775,0.7721239459225354,92.7803380000114,1115.1087320000224
13,1.0536657172317305,0.7144791666666667,0.7125015055129337,0.8209749478224937,0.7595833333333334,0.7577974370574679,92.75613629998406,1207.9153397000046
14,1.0021167385422936,0.726875,0.725661426103283,0.798687361603758,0.7729166666666667,0.7700630791184421,93.12559469998814,1301.0424470000144
15,0.9659048909073075,0.7345833333333334,0.7329770806362179,0.8153758573865828,0.7633333333333333,0.7608106932170065,92.96340030001011,1394.007414600026
16,0.9704423423546056,0.7361458333333334,0.7350304954499578,0.8275147496390854,0.76625,0.7631065403296077,93.39362170000095,1487.4025370000163
17,0.9283249594147006,0.7514583333333333,0.7503825391080745,0.8313480702735251,0.7695833333333333,0.7648773822656854,93.03192539999145,1580.4360153000162
